C-c C-a		agda2-auto
C-c C-b		agda2-previous-goal
C-c C-c		agda2-make-case
C-c C-d		agda2-infer-type-maybe-toplevel
C-c C-e		agda2-show-context
C-c C-f		agda2-next-goal
C-c C-l		agda2-load
C-c C-n		agda2-compute-normalised-maybe-toplevel
C-c C-o		agda2-module-contents-maybe-toplevel
C-c C-r		agda2-refine
C-c C-s		agda2-solveAll
C-c C-t		agda2-goal-type
C-c C-x		Prefix Command
C-c C-SPC	agda2-give
C-c C-,		agda2-goal-and-context
C-c C-.		agda2-goal-and-context-and-inferred
C-c C-=		agda2-show-constraints
C-c C-?		agda2-show-goals

M-*		agda2-go-back
M-.		agda2-goto-definition-keyboard

C-c C-x C-c	agda2-compile
C-c C-x C-d	agda2-remove-annotations
C-c C-x C-h	agda2-display-implicit-arguments
C-c C-x C-l	agda2-load
C-c C-x C-q	agda2-quit
C-c C-x C-r	agda2-restart
